reference_short,start_year,end_year,num_measurements,reference_key
Koch (1913),1912,1913,5,81
Wegener (1930),1930,1930,8,"65, 66"
Heuberger (1954),1950,1950,2,43
Benson (1962),1954,1955,59,33
Schytt (1955),1954,1954,31,78
Nobles (1960),1954,1954,7,77
Heuberger  (1954),1954,1954,1,38
Meier et al. (1957),1955,1955,4,80
Griffiths (1960),1955,1956,38,79
de Quervain (1969),1957,1964,8,50
Ambach (1979),1959,1959,2,69
Langway (1961),1959,1959,14,34
U.S. Army Transportation Board (1960),1960,1960,4,37
Davies (1954),1960,1960,7,63
Davies (1967),1962,1962,1,49
Mock and Ragle (1963),1964,1964,31,36
Mock (1965),1964,1964,12,35
Weertman et al. (1968),1966,1966,1,40
Colbeck and Gow (1979),1973,1973,3,44
Clausen et al. (1988),1974,1985,11,51
Clausen and Hammer (1988),1977,1977,1,62
Stauffer and Oeschger (1979),1978,1978,1,41
Clausen and Stauffer (1988),1978,1978,2,42
Clement (1984),1983,1983,4,76
Thomsen et al. (1991),1990,1991,8,"47, 48"
Ohmura et al. (1992),1990,1990,3,55
GC-Net unpublished,1991,2010,170,54
Braithwaite (1993),1991,1992,12,75
Laternser (1994),1992,1992,16,64
Schwager (2000),1994,1994,1,72
"Historical GC-Net: Steffen et al. (1996, 2001, 2023); Vandecrux et al. (2023)",1995,2022,1665,53
Giese and Hawley (2015),2004,2008,47,73
Humphrey et al. (2012),2007,2009,57,58
"PROMICE/GC-Net, How et al. (2023)",2008,2023,1480,52
Smeets et al. (2018),2009,2016,160,74
Harrington et al. (2015),2010,2012,5,45
Hills et al. (2018),2011,2017,109,59
Charalampidis et al. (2016); Charalampidis et al. (2022) ,2012,2013,29,57
Yamaguchi et al. (2014),2012,2012,1,67
Polashenski et al. (2014),2013,2013,2,39
Miller et al. (2020),2013,2017,71,28
Matoba et al. (2015),2014,2014,1,68
"MacFerrin et al. (2021, 2022)",2015,2019,311,56
Kjær et al. (2015),2015,2015,2,70
Heilig et al. (2018),2016,2021,58,60
Graeter et al. (2018),2016,2016,6,31
Lewis et al. (2019),2017,2017,8,32
Vandecrux et al. (2021); Colgan and Vandecrux (2021),2017,2022,119,61
"Covi et al. (2022, 2023)",2017,2019,77,71
Law et al. (2021),2019,2019,1,46
